"iso3c","date","National.accounts.base.year","NABY","NABY_dates"
"GBR",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2018,"1996","1996","1996"
"GEO",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GHA",2016,"2006","2006","2006"
"GHA",2017,"2006","2006","2006"
"GHA",2018,"2006","2006","2006"
"GHA",2019,"2013","2013","2013"
"GHA",2020,"2013","2013","2013"
"GHA",2021,"2013","2013","2013"
"GHA",2022,"2013","2013","2013"
"GIB",2016,NA,NA,NA
"GIB",2017,NA,NA,NA
"GIB",2018,NA,NA,NA
"GIB",2019,NA,NA,NA
"GIB",2020,NA,NA,NA
"GIB",2021,NA,NA,NA
"GIB",2022,NA,NA,NA
"GIN",2016,"2003","2003","2003"
"GIN",2017,"2003","2003","2003"
"GIN",2018,"2003","2003","2003"
"GIN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GIN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GIN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GIN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GMB",2016,"2004","2004","2004"
"GMB",2017,"2004","2004","2004"
"GMB",2018,"2004","2004","2004"
"GMB",2019,"2013","2013","2013"
"GMB",2020,"2013","2013","2013"
"GMB",2021,"2013","2013","2013"
"GMB",2022,"2013","2013","2013"
"GNB",2016,"2005","2005","2005"
"GNB",2017,"2005","2005","2005"
"GNB",2018,"2005","2005","2005"
"GNB",2019,"2005","2005","2005"
"GNB",2020,"2005","2005","2005"
"GNB",2021,"2005","2005","2005"
"GNB",2022,"2005","2005","2005"
"GNQ",2016,"2006","2006","2006"
"GNQ",2017,"2006","2006","2006"
"GNQ",2018,"2006","2006","2006"
"GNQ",2019,"2006","2006","2006"
"GNQ",2020,"2006","2006","2006"
"GNQ",2021,"2006","2006","2006"
"GNQ",2022,"2006","2006","2006"
"GRC",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRC",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRC",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRC",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRC",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRC",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRC",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRD",2016,"2006","2006","2006"
"GRD",2017,"2006","2006","2006"
"GRD",2018,"2006","2006","2006"
"GRD",2019,"2006","2006","2006"
"GRD",2020,"2006","2006","2006"
"GRD",2021,"2006","2006","2006"
"GRD",2022,"2006","2006","2006"
"GRL",2016,"1990","1990","1990"
"GRL",2017,"2010","2010","2010"
"GRL",2018,"2010","2010","2010"
"GRL",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GRL",2020,NA,NA,NA
"GRL",2021,NA,NA,NA
"GRL",2022,NA,NA,NA
"GTM",2016,"2001","2001","2001"
"GTM",2017,"2001","2001","2001"
"GTM",2018,"2001","2001","2001"
"GTM",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GTM",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GTM",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GTM",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GUM",2016,NA,NA,NA
"GUM",2017,NA,NA,NA
"GUM",2018,"2009","2009","2009"
"GUM",2019,"2009","2009","2009"
"GUM",2020,"2009","2009","2009"
"GUM",2021,"2012","2012","2012"
"GUM",2022,"2012","2012","2012"
"GUY",2016,"2006","2006","2006"
"GUY",2017,"2006","2006","2006"
"GUY",2018,"2006","2006","2006"
"GUY",2019,"2006","2006","2006"
"GUY",2020,"2012","2012","2012"
"GUY",2021,"2012","2012","2012"
"GUY",2022,"2012","2012","2012"
"HKG",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HKG",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HKG",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HKG",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HKG",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HKG",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HKG",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HND",2016,"2000","2000","2000"
"HND",2017,"2000","2000","2000"
"HND",2018,"2000","2000","2000"
"HND",2019,"2000","2000","2000"
"HND",2020,"2000","2000","2000"
"HND",2021,"2000","2000","2000"
"HND",2022,"2000","2000","2000"
"HRV",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HRV",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HRV",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HRV",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HRV",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HRV",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HRV",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HTI",2016,"1986/87","1986/87","1987"
"HTI",2017,"1986/87","1986/87","1987"
"HTI",2018,"1986/87","1986/87","1987"
"HTI",2019,"1986/87","1986/87","1987"
"HTI",2020,"2011/12","2011/12","2012"
"HTI",2021,"2011/12","2011/12","2012"
"HTI",2022,"2011/12","2011/12","2012"
"HUN",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HUN",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HUN",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HUN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HUN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HUN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"HUN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IDN",2016,"2010","2010","2010"
"IDN",2017,"2010","2010","2010"
"IDN",2018,"2010","2010","2010"
"IDN",2019,"2010","2010","2010"
"IDN",2020,"2010","2010","2010"
"IDN",2021,"2010","2010","2010"
"IDN",2022,"2010","2010","2010"
"IMN",2017,"2013","2013","2013"
"IMN",2018,"2013","2013","2013"
"IMN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IMN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IMN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IMN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IMY",2016,"2013","2013","2013"
"IND",2016,"2011/12","2011/12","2012"
"IND",2017,"2011/12","2011/12","2012"
"IND",2018,"2011/12","2011/12","2012"
"IND",2019,"2011","2011","2011"
"IND",2020,"2011","2011","2011"
"IND",2021,"2011","2011","2011"
"IND",2022,"2011/12","2011/12","2012"
"IRL",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRL",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRL",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRL",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRL",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRL",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRL",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"IRN",2016,"2004/05","2004/05","2005"
"IRN",2017,"2004/05","2004/05","2005"
"IRN",2018,"2011","2011","2011"
"IRN",2019,"2011","2011","2011"
"IRN",2020,"2011/2012","2011/2012","2020"
"IRN",2021,"2011/2012","2011/2012","2020"
"IRN",2022,"2016/17","2016/17","2017"
"IRQ",2016,"2007","2007","2007"
"IRQ",2017,"2007","2007","2007"
"IRQ",2018,"2007","2007","2007"
"IRQ",2019,"2007","2007","2007"
"IRQ",2020,"2007","2007","2007"
"IRQ",2021,"2007","2007","2007"
"IRQ",2022,"2007","2007","2007"
"ISL",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISL",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISL",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISL",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISL",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISL",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISL",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ISR",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ITA",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JAM",2016,"2007","2007","2007"
"JAM",2017,"2007","2007","2007"
"JAM",2018,"2007","2007","2007"
"JAM",2019,"2007","2007","2007"
"JAM",2020,"2007","2007","2007"
"JAM",2021,"2007","2007","2007"
"JAM",2022,"2007","2007","2007"
"JOR",2016,"1994","1994","1994"
"JOR",2017,"1994","1994","1994"
"JOR",2018,"1994","1994","1994"
"JOR",2019,"2016","2016","2016"
"JOR",2020,"2016","2016","2016"
"JOR",2021,"2016","2016","2016"
"JOR",2022,"2016","2016","2016"
"JPN",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JPN",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JPN",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JPN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JPN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JPN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"JPN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KAZ",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KEN",2016,"2009","2009","2009"
"KEN",2017,"2009","2009","2009"
"KEN",2018,"2009","2009","2009"
"KEN",2019,"2009","2009","2009"
"KEN",2020,"2009","2009","2009"
"KEN",2021,"2009","2009","2009"
"KEN",2022,"2016","2016","2016"
"KGZ",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KGZ",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KGZ",2018,"1995","1995","1995"
"KGZ",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KGZ",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KGZ",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KGZ",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KHM",2016,"2000","2000","2000"
"KHM",2017,"2000","2000","2000"
"KHM",2018,"2000","2000","2000"
"KHM",2019,"2000","2000","2000"
"KHM",2020,"2000","2000","2000"
"KHM",2021,"2000","2000","2000"
"KHM",2022,"2000","2000","2000"
"KIR",2016,"2006","2006","2006"
"KIR",2017,"2006","2006","2006"
"KIR",2018,"2006","2006","2006"
"KIR",2019,"2006","2006","2006"
"KIR",2020,"2006","2006","2006"
"KIR",2021,"2006","2006","2006"
"KIR",2022,"2006","2006","2006"
"KNA",2016,"2006","2006","2006"
"KNA",2017,"2006","2006","2006"
"KNA",2018,"2006","2006","2006"
"KNA",2019,"2006","2006","2006"
"KNA",2020,"2006","2006","2006"
"KNA",2021,"2006","2006","2006"
"KNA",2022,"2006","2006","2006"
"KOR",2016,"2010","2010","2010"
"KOR",2017,"2010","2010","2010"
"KOR",2018,"2010","2010","2010"
"KOR",2019,"2010","2010","2010"
"KOR",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KOR",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KOR",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"KSV",2016,"2008","2008","2008"
"KWT",2016,"2010","2010","2010"
"KWT",2017,"2010","2010","2010"
"KWT",2018,"2010","2010","2010"
"KWT",2019,"2010","2010","2010"
"KWT",2020,"2010","2010","2010"
"KWT",2021,"2010","2010","2010"
"KWT",2022,"2010","2010","2010"
"LAO",2016,"2002","2002","2002"
"LAO",2017,"2012","2012","2012"
"LAO",2018,"2012","2012","2012"
"LAO",2019,"2012","2012","2012"
"LAO",2020,"2012","2012","2012"
"LAO",2021,"2012","2012","2012"
"LAO",2022,"2012","2012","2012"
"LBN",2016,"1997","1997","1997"
"LBN",2017,NA,NA,NA
"LBN",2018,"2010","2010","2010"
"LBN",2019,"2010","2010","2010"
"LBN",2020,"2010","2010","2010"
"LBN",2021,"2010","2010","2010"
"LBN",2022,"2010","2010","2010"
"LBR",2016,"2000","2000","2000"
"LBR",2017,"2000","2000","2000"
"LBR",2018,"2000","2000","2000"
"LBR",2019,"1992","1992","1992"
"LBR",2020,"1992","1992","1992"
"LBR",2021,"1992","1992","1992"
"LBR",2022,"2016","2016","2016"
"LBY",2016,"2003","2003","2003"
"LBY",2017,"2003","2003","2003"
"LBY",2018,"2003","2003","2003"
"LBY",2019,"2003","2003","2003"
"LBY",2020,"2007","2007","2007"
"LBY",2021,"2003","2003","2003"
"LBY",2022,"2013","2013","2013"
"LCA",2016,"2006","2006","2006"
"LCA",2017,"2006","2006","2006"
"LCA",2018,"2006","2006","2006"
"LCA",2019,"2006","2006","2006"
"LCA",2020,"2018","2018","2018"
"LCA",2021,"2018","2018","2018"
"LCA",2022,"2018","2018","2018"
"LIE",2016,"1990","1990","1990"
"LIE",2017,"1990","1990","1990"
"LIE",2018,"1990","1990","1990"
"LIE",2019,"1998","1998","1998"
"LIE",2020,"1998","1998","1998"
"LIE",2021,"1998","1998","1998"
"LIE",2022,"1998","1998","1998"
"LKA",2016,"2010","2010","2010"
"LKA",2017,"2010","2010","2010"
"LKA",2018,"2010","2010","2010"
"LKA",2019,"2010","2010","2010"
"LKA",2020,"2010","2010","2010"
"LKA",2021,"2010","2010","2010"
"LKA",2022,"2010","2010","2010"
"LSO",2016,"2004","2004","2004"
"LSO",2017,"2012","2012","2012"
"LSO",2018,"2012","2012","2012"
"LSO",2019,"2012","2012","2012"
"LSO",2020,"2012","2012","2012"
"LSO",2021,"2012","2012","2012"
"LSO",2022,"2012","2012","2012"
"LTU",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LTU",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LTU",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LTU",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LTU",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LTU",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LTU",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LUX",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"LVA",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MAC",2016,"2013","2013","2013"
"MAC",2017,"2015","2015","2015"
"MAC",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MAC",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MAC",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MAC",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MAC",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MAF",2016,NA,NA,NA
"MAF",2017,NA,NA,NA
"MAF",2018,NA,NA,NA
"MAF",2019,NA,NA,NA
"MAF",2020,NA,NA,NA
"MAF",2021,NA,NA,NA
"MAF",2022,NA,NA,NA
"MAR",2016,"2007","2007","2007"
"MAR",2017,"2007","2007","2007"
"MAR",2018,"2007","2007","2007"
"MAR",2019,"2007","2007","2007"
"MAR",2020,"2007","2007","2007"
"MAR",2021,"2007","2007","2007"
"MAR",2022,"2007","2007","2007"
"MCO",2016,"1990","1990","1990"
"MCO",2017,"1990","1990","1990"
"MCO",2018,"1990","1990","1990"
"MCO",2019,"2010","2010","2010"
"MCO",2020,"2010","2010","2010"
"MCO",2021,"2010","2010","2010"
"MCO",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MDA",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MDA",2017,"2000","2000","2000"
"MDA",2018,"2000","2000","2000"
"MDA",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MDA",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MDA",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MDA",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MDG",2016,"1984","1984","1984"
"MDG",2017,"1984","1984","1984"
"MDG",2018,"1984","1984","1984"
"MDG",2019,"2007","2007","2007"
"MDG",2020,"2007","2007","2007"
"MDG",2021,"2007","2007","2007"
"MDG",2022,"2007","2007","2007"
"MDV",2016,"2003","2003","2003"
"MDV",2017,"2003","2003","2003"
"MDV",2018,"2014","2014","2014"
"MDV",2019,"2014","2014","2014"
"MDV",2020,"2014","2014","2014"
"MDV",2021,"2014","2014","2014"
"MDV",2022,"2014","2014","2014"
"MEX",2016,"2008","2008","2008"
"MEX",2017,"2008","2008","2008"
"MEX",2018,"2013","2013","2013"
"MEX",2019,"2013","2013","2013"
"MEX",2020,"2013","2013","2013"
"MEX",2021,"2013","2013","2013"
"MEX",2022,"2013","2013","2013"
"MHL",2016,"2003/04","2003/04","2004"
"MHL",2017,"2003/04","2003/04","2004"
"MHL",2018,"2004","2004","2004"
"MHL",2019,"2015","2015","2015"
"MHL",2020,"2015","2015","2015"
"MHL",2021,"2015","2015","2015"
"MHL",2022,"2014/15","2014/15","2015"
"MKD",2016,"2005","2005","2005"
"MKD",2017,"2005","2005","2005"
"MKD",2018,"2005","2005","2005"
"MKD",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MKD",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MKD",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MKD",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MLI",2016,"1999","1999","1999"
"MLI",2017,"1999","1999","1999"
"MLI",2018,"1999","1999","1999"
"MLI",2019,"1999","1999","1999"
"MLI",2020,"1999","1999","1999"
"MLI",2021,"1999","1999","1999"
"MLI",2022,"1999","1999","1999"
"MLT",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MLT",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MLT",2018,"2010","2010","2010"
"MLT",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MLT",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MLT",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MLT",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MMR",2016,"2005/06","2005/06","2006"
"MMR",2017,"2010/11","2010/11","2011"
"MMR",2018,"2010","2010","2010"
"MMR",2019,"2010","2010","2010"
"MMR",2020,"2015","2015","2015"
"MMR",2021,"2015","2015","2015"
"MMR",2022,"2016","2016","2016"
"MNE",2016,"2000","2000","2000"
"MNE",2017,"2000","2000","2000"
"MNE",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MNE",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MNE",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MNE",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MNE",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"MNG",2016,"2010","2010","2010"
"MNG",2017,"2010","2010","2010"
"MNG",2018,"2010","2010","2010"
"MNG",2019,"2010","2010","2010"
"MNG",2020,"2010","2010","2010"
"MNG",2021,"2010","2010","2010"
"MNG",2022,"2015","2015","2015"
"MNP",2016,NA,NA,NA
"MNP",2017,NA,NA,NA
"MNP",2018,NA,NA,NA
"MNP",2019,"2009","2009","2009"
"MNP",2020,NA,NA,NA
"MNP",2021,NA,NA,NA
"MNP",2022,"2012","2012","2012"
"MOZ",2016,"2009","2009","2009"
"MOZ",2017,"2009","2009","2009"
"MOZ",2018,"2009","2009","2009"
"MOZ",2019,"2014","2014","2014"
"MOZ",2020,"2014","2014","2014"
"MOZ",2021,"2014","2014","2014"
"MOZ",2022,"2014","2014","2014"
"MRT",2016,"2004","2004","2004"
"MRT",2017,"2004","2004","2004"
"MRT",2018,"2004","2004","2004"
"MRT",2019,"2004","2004","2004"
"MRT",2020,"2014","2014","2014"
"MRT",2021,"2014","2014","2014"
"MRT",2022,"2014","2014","2014"
"MUS",2016,"2006","2006","2006"
"MUS",2017,"2006","2006","2006"
"MUS",2018,"2006","2006","2006"
"MUS",2019,"2006","2006","2006"
"MUS",2020,"2006","2006","2006"
"MUS",2021,"2006","2006","2006"
"MUS",2022,"2006","2006","2006"
"MWI",2016,"2010","2010","2010"
"MWI",2017,"2010","2010","2010"
"MWI",2018,"2010","2010","2010"
"MWI",2019,"2010","2010","2010"
"MWI",2020,"2010","2010","2010"
"MWI",2021,"2017","2017","2017"
"MWI",2022,"2017","2017","2017"
